Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
3 Bears OG,,,,,3 Bears,,,Auto Triangle Kush,,Karma OG,,,,,,,,,,,,,,,,,
84% Pure Gooey,,,,,,,Gooey,,,,,,,,,,,,,,,,,,,,
91 Krypt,,,,,,,,Chemdawg 91,,Captain Krypt OG,,,,,,,,,,,,,,,,,
91 OG Krypt Melon,,,,,,,,Melon OG,,91 Krypt,,,,,,,,,,,,,,,,,
98 Aloha White Widow,,,,,,,,White Widow,,,,,,,,,,,,,,,,,,,
Abusive OG,,,,,,,OG Kush,,,,,,,,,,,,,,,Abusive,,,,,
Acapulco Gold,,,,,,,Mexico Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Aceh/Atjeh,,,,,,,Indonesia Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Afghan Haze,,ex NZ Medical,Medleaf,Medleaf Afghan Haze (discontinued),,,,Afghan/Pakistan Indica Landraces,,Haze,,,,,,,,,,,,,,,,,
Afghan/Pakistan Indica Landraces,Indica dominant,Landrace,,,Afghani,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
Afghani #1,,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,
Afghani Hawaiian,,,,,Afghan Hawaiian,,,Afghan/Pakistan Indica Landraces,,Hawaiian Sativa Landraces,,,,,,,,,,,,,,,,,
African Indica Landraces,Indica dominant,Landrace,,,,,,Introduced Naturalised Indica,,,,,,,,,,,,,,,,,,,
African Purple,,,,,,,,African Indica Landraces,,,,,,,,,,,,,,,,,,,
AK-47,,,,,,,,Mexico Sativa Landraces,,Colombian Sativa Landraces,,Thai Sativa Landraces,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,
Aladdin Kush,,,,,,,,Aladdin’s Skunk,,Black Kush,,,,,,,,,,,,,,,,,
Aladdin’s Skunk,,,,,,,Skunk #1,,,,,,,,,,,,,,,,,,,,
AlaDin,,,,,Aladin,,,Apollo 11,25.00%,Colombia Punto Rojo,25.00%,Original Diesel,50.00%,,,,,,,,,,,,,,
Alien Cookies,,,,,,,,Forum Cut Cookies,,Alien Dawg,,,,,,,,,,,,,,,,,
Alien Dawg,,,,,,,,Chemdawg D,,Alien Technology,,,,,,,,,,,,,,,,,
Alien Kush,,,,,,,,Alien Technology,,Las Vegas Purple Kush,,,,,,,,,,,,,,,,,
